BYYY BM BD BH EYYY EM ED EH  SST SSTANOM HOTSPOT  DHW   Lat    Lon Reef_Name
2001 12 22 00 2001 12 24 23 27.30   0.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 12 24 23 2001 12 29 00 26.90  -0.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2001 12 29 00 2002 01 01 00 27.00  -0.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 01 01 00 2002 01 04 23 26.90  -0.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 01 04 23 2002 01 08 00 27.00  -0.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 01 08 00 2002 01 11 23 27.60   0.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 01 11 23 2002 01 14 23 27.40  -0.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 01 14 23 2002 01 19 00 27.40  -0.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 01 19 00 2002 01 21 23 27.60  -0.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 01 21 23 2002 01 26 00 27.80   0.00   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 01 26 00 2002 01 29 00 27.80  -0.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 01 29 00 2002 02 01 23 27.60  -0.40   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 02 01 23 2002 02 05 00 27.70  -0.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 02 05 00 2002 02 08 23 27.70  -0.40   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 02 08 23 2002 02 11 23 27.90  -0.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 02 11 23 2002 02 16 00 28.50   0.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 02 16 00 2002 02 18 23 28.70   0.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 02 23 00 2002 02 26 00 28.50   0.00   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 03 08 23 2002 03 11 23 28.80   0.00   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 03 11 23 2002 03 16 00 29.30   0.40   0.40  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 03 16 00 2002 03 18 23 29.50   0.70   0.60  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 03 18 23 2002 03 23 00 29.10   0.30   0.20  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 03 23 00 2002 03 26 00 29.10   0.30   0.20  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 03 26 00 2002 03 29 23 29.60   0.90   0.70  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 03 29 23 2002 04 02 00 29.70   1.00   0.80  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 04 02 00 2002 04 05 23 29.90   1.30   1.00  0.50   5.5  -87.0 Isla del Coco, Costa Rica
2002 04 05 23 2002 04 08 23 29.50   0.90   0.60  0.50   5.5  -87.0 Isla del Coco, Costa Rica
