BYYY BM BD BH EYYY EM ED EH  SST SSTANOM HOTSPOT  DHW   Lat    Lon Reef_Name
2002 07 23 00 2002 07 26 23 29.30   0.20   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 07 26 23 2002 07 30 00 29.90   0.80   0.60  0.00   5.5  168.5 Namorik, Marshall Islands
2002 07 30 00 2002 08 03 00 29.50   0.40   0.20  0.00   5.5  168.5 Namorik, Marshall Islands
2002 08 03 00 2002 08 05 23 29.40   0.20   0.10  0.00   5.5  168.5 Namorik, Marshall Islands
2002 08 05 23 2002 08 10 00 29.40   0.20   0.10  0.00   5.5  168.5 Namorik, Marshall Islands
2002 08 10 00 2002 08 12 23 29.40   0.10   0.10  0.00   5.5  168.5 Namorik, Marshall Islands
2002 08 12 23 2002 08 16 23 29.20  -0.10   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 08 16 23 2002 08 20 00 29.20  -0.10   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 08 20 00 2002 08 23 23 29.20  -0.10   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 08 23 23 2002 08 27 00 29.20  -0.10   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 08 27 00 2002 08 30 23 29.10  -0.20   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 08 30 23 2002 09 02 23 29.30   0.00   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 09 02 23 2002 09 07 00 29.30   0.00   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 09 07 00 2002 09 09 23 29.10  -0.20   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 09 09 23 2002 09 14 00 29.10  -0.20   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 09 14 00 2002 09 16 23 29.00  -0.30   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 09 16 23 2002 09 20 23 29.00  -0.30   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 09 20 23 2002 09 24 00 29.00  -0.30   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 09 24 00 2002 09 27 23 29.40   0.10   0.10  0.00   5.5  168.5 Namorik, Marshall Islands
2002 09 27 23 2002 10 01 00 29.80   0.50   0.50  0.00   5.5  168.5 Namorik, Marshall Islands
2002 10 01 00 2002 10 04 23 29.80   0.50   0.50  0.00   5.5  168.5 Namorik, Marshall Islands
2002 10 04 23 2002 10 07 23 28.80  -0.50   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 10 07 23 2002 10 12 00 28.80  -0.50   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 10 12 00 2002 10 14 23 29.00  -0.30   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 10 14 23 2002 10 19 00 28.90  -0.40   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 10 19 00 2002 10 22 00 29.50   0.20   0.20  0.00   5.5  168.5 Namorik, Marshall Islands
2002 10 22 00 2002 10 25 23 29.20  -0.10   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 10 25 23 2002 10 29 00 29.30   0.00   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2002 10 29 00 2002 11 01 23 29.50   0.20   0.20  0.00   5.5  168.5 Namorik, Marshall Islands
2002 11 01 23 2002 11 04 23 29.50   0.20   0.20  0.00   5.5  168.5 Namorik, Marshall Islands
2002 11 04 23 2002 11 09 00 30.30   1.00   1.00  0.50   5.5  168.5 Namorik, Marshall Islands
2002 11 09 00 2002 11 11 23 29.50   0.20   0.20  0.50   5.5  168.5 Namorik, Marshall Islands
2002 11 11 23 2002 11 16 00 30.00   0.70   0.70  0.50   5.5  168.5 Namorik, Marshall Islands
2002 11 16 00 2002 11 19 00 30.00   0.80   0.70  0.50   5.5  168.5 Namorik, Marshall Islands
2002 11 19 00 2002 11 22 23 29.30   0.20   0.00  0.50   5.5  168.5 Namorik, Marshall Islands
2002 11 22 23 2002 11 26 00 29.30   0.20   0.00  0.50   5.5  168.5 Namorik, Marshall Islands
2002 11 26 00 2002 11 29 23 29.30   0.30   0.00  0.50   5.5  168.5 Namorik, Marshall Islands
2002 11 29 23 2002 12 02 23 29.30   0.40   0.00  0.50   5.5  168.5 Namorik, Marshall Islands
2002 12 02 23 2002 12 07 00 29.80   0.90   0.50  0.50   5.5  168.5 Namorik, Marshall Islands
2002 12 07 00 2002 12 09 23 28.30  -0.50   0.00  0.50   5.5  168.5 Namorik, Marshall Islands
2002 12 09 23 2002 12 14 00 28.40  -0.30   0.00  0.50   5.5  168.5 Namorik, Marshall Islands
2002 12 14 00 2002 12 16 23 28.20  -0.50   0.00  0.50   5.5  168.5 Namorik, Marshall Islands
2002 12 16 23 2002 12 20 23 28.40  -0.30   0.00  0.50   5.5  168.5 Namorik, Marshall Islands
2002 12 20 23 2002 12 24 00 28.80   0.20   0.00  0.50   5.5  168.5 Namorik, Marshall Islands
2002 12 24 00 2002 12 28 00 28.50  -0.10   0.00  0.50   5.5  168.5 Namorik, Marshall Islands
2002 12 28 00 2002 12 31 00 28.40  -0.20   0.00  0.50   5.5  168.5 Namorik, Marshall Islands
2002 12 31 00 2003 01 03 23 28.40  -0.20   0.00  0.50   5.5  168.5 Namorik, Marshall Islands
2003 01 03 23 2003 01 06 23 28.40  -0.20   0.00  0.50   5.5  168.5 Namorik, Marshall Islands
2003 01 06 23 2003 01 11 00 28.40  -0.10   0.00  0.50   5.5  168.5 Namorik, Marshall Islands
2003 01 11 00 2003 01 13 23 28.50   0.00   0.00  0.50   5.5  168.5 Namorik, Marshall Islands
2003 01 13 23 2003 01 18 00 28.50   0.00   0.00  0.50   5.5  168.5 Namorik, Marshall Islands
2003 01 18 00 2003 01 21 00 28.60   0.10   0.00  0.50   5.5  168.5 Namorik, Marshall Islands
2003 01 21 00 2003 01 24 23 28.60   0.10   0.00  0.50   5.5  168.5 Namorik, Marshall Islands
2003 01 24 23 2003 01 28 00 28.60   0.10   0.00  0.50   5.5  168.5 Namorik, Marshall Islands
2003 01 28 00 2003 01 31 23 28.60   0.20   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2003 01 31 23 2003 02 03 23 28.60   0.20   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2003 02 03 23 2003 02 08 00 28.40   0.00   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2003 02 08 00 2003 02 10 23 28.20  -0.20   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2003 02 10 23 2003 02 15 00 28.20  -0.20   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2003 02 15 00 2003 02 17 23 28.90   0.50   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2003 02 17 23 2003 02 21 23 29.00   0.60   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2003 02 21 23 2003 02 25 00 28.90   0.50   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2003 02 25 00 2003 02 28 23 29.10   0.60   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2003 02 28 23 2003 03 04 00 29.10   0.60   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2003 03 04 00 2003 03 08 00 28.90   0.40   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2003 03 08 00 2003 03 10 23 28.90   0.40   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2003 03 10 23 2003 03 15 00 28.00  -0.50   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2003 03 15 00 2003 03 17 23 29.00   0.50   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2003 03 17 23 2003 03 22 00 29.00   0.50   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2003 03 22 00 2003 03 25 00 28.80   0.30   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2003 03 25 00 2003 03 29 01 28.70   0.20   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2003 03 29 01 2003 04 01 00 28.60   0.20   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2003 04 01 00 2003 04 05 01 29.10   0.70   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2003 04 05 01 2003 04 08 01 29.10   0.70   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2003 04 08 01 2003 04 12 00 29.10   0.70   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2003 04 12 00 2003 04 15 01 29.10   0.70   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2003 04 15 01 2003 04 19 00 29.10   0.60   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2003 04 19 00 2003 04 22 00 29.10   0.60   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2003 04 22 00 2003 04 26 01 29.00   0.50   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2003 04 26 01 2003 04 29 00 29.00   0.40   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2003 04 29 00 2003 05 03 01 29.10   0.50   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2003 05 03 01 2003 05 06 00 29.00   0.30   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
2003 05 06 00 2003 05 10 01 29.30   0.60   0.00  0.00   5.5  168.5 Namorik, Marshall Islands
